Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Step count
2024-05-01,53,1702.27718706359,2805.19964941433,11,5063
2024-05-02,46,1669.39220337391,2227.05577319578,10,3798
2024-05-03,46,1620.19074301802,1672.59204180741,,2890
2024-05-04,86,1761.15930642199,4008.01283419148,8,6893
2024-05-05,77,1716.39794102979,3107.0410295291,5,5320
2024-05-06,74,1649.25508743415,2948.87619137497,5,4885
2024-05-07,24,1565.43767939972,1016.42306144339,,1877
2024-05-08,48,1628.59283685105,1986.30758713087,3,3477
2024-05-09,95,1694.57412557352,4096.36322103825,14,6656
2024-05-10,94,1731.72277735066,3618.0206247676,30,5974
2024-05-11,57,1660.10443421608,2388.74857709398,1,4276
2024-05-12,76,1739.62395079179,4062.62783342396,22,6597
2024-05-13,63,1661.08942063338,1832.77648699547,20,3309
2024-05-14,53,1665.62334201061,2461.56988799916,5,4040
2024-05-15,122,1902.67570844883,1331.59070069603,93,2301
2024-05-16,38,1625.12975719348,1702.85893008305,1,2895
2024-05-17,51,1605.74870123091,1947.45103178303,1,3365
2024-05-18,26,1563.05196906617,1205.32896133658,2,2470
2024-05-19,135,1959.90073869308,5992.69735795363,46,9466
2024-05-20,75,1705.96590643194,3352.00010276543,14,5574
2024-05-21,72,1718.51267612578,1811.6654150017,28,3196
2024-05-22,58,1658.91379832437,2866.47953719971,10,4760
2024-05-23,114,1879.76232437552,3641.21132407937,32,6194
2024-05-24,43,1602.514796185,2039.82656973506,9,3448
2024-05-25,151,2029.87578645835,5202.34918970653,45,8483
2024-05-26,133,1941.63249751768,4620.24964267562,33,7805
2024-05-27,43,1608.39794540949,1742.9871503161,1,3031
2024-05-28,32,1606.33802915392,1505.12005911196,4,2557
2024-05-29,54,1652.14540964641,2209.45522891444,1,3780
2024-05-30,70,1665.88295173949,3523.58523702772,18,5850
2024-05-31,110,1810.37148290955,4115.84078839783,47,6574
2024-06-01,107,1814.20428382597,4780.76642016157,4,8049
2024-06-02,38,1669.71319624911,1777.48479914216,,3633
2024-06-03,70,1706.29465140677,3301.1478025231,16,5452
2024-06-04,74,1693.7846658447,3534.3204086632,22,5699
2024-06-05,41,1630.30046120263,1801.26147238218,1,3204
2024-06-06,46,1634.83782617886,1031.18401919851,25,2091
2024-06-07,59,1622.56106144484,2423.9786376834,4,4206
2024-06-08,95,1733.25867586331,4066.36001517227,5,7556
2024-06-09,129,1864.83594651947,5320.98931258146,4,9484
2024-06-10,95,1738.40194987906,4191.0028690519,14,6875
2024-06-11,42,1606.21681754118,1804.1519082904,1,3332
2024-06-12,100,1803.94036186739,4541.45832622001,13,7565
2024-06-13,36,1593.12475233087,1384.04496736686,,2729
2024-06-14,70,1694.58266584493,3300.5008875462,11,5833
2024-06-15,56,1685.30512131788,2691.10003030492,4,4554
2024-06-16,62,1652.99965594756,2877.20804710822,12,5139
2024-06-17,118,1840.5487272248,5556.68608163632,20,9341
2024-06-18,47,1642.95604051831,1993.42607050839,,3424
2024-06-19,49,1629.64165197592,2403.12445383357,7,4103
2024-06-20,136,1855.19251398686,7477.35324996514,49,11545
2024-06-21,103,1828.55021212672,5675.33622695717,35,8943
2024-06-22,135,1912.95333178085,7617.63295789235,51,11837
2024-06-23,211,2122.52075710245,7060.26508718693,105,11283
2024-06-24,133,1901.25878495153,7103.43678621032,41,11021
2024-06-25,132,1966.94712921644,7360.70632968691,57,11158
2024-06-26,114,1875.31794238272,3346.65966547533,68,5395
2024-06-27,94,1735.70425101466,4234.18300847255,15,7111
2024-06-28,129,1881.981277222,5735.41789526389,8,9497
2024-06-29,57,1682.50985633315,1968.19456292615,13,3830
2024-06-30,89,1790.63313981457,3460.45135483129,,6444
2024-07-01,77,1730.76436495318,4635.70015283895,33,7192
2024-07-02,78,1701.5646112945,4491.41792807262,34,6923
2024-07-03,47,1654.59718384649,1963.7922187789,2,3349
2024-07-04,12,1524.80778900407,501.641055858064,,1099
2024-07-05,39,1615.68856189041,1876.91176112899,3,3236
2024-07-06,95,1748.83502855798,3566.08464113877,5,6214
2024-07-07,54,1681.29773078176,2165.72337924953,4,3803
2024-07-08,11,1560.95325896516,600.201905425045,,1304
2024-07-09,60,1670.30089488369,3360.48480375392,18,5403
2024-07-10,128,1891.14109470076,7099.18011466759,37,11054
2024-07-11,77,1717.87199882254,4474.83528601522,32,6950
2024-07-12,119,1839.96720408441,5969.88504594766,28,9481
2024-07-13,303,2548.80168316272,4739.73401156676,225,8060
2024-07-14,77,1719.4291523026,3507.9622381016,5,5903
2024-07-15,121,1813.85117522314,7078.5167786941,44,10917
2024-07-16,54,1670.6543536437,2861.39925658532,15,4594
2024-07-17,111,1798.54846889696,6162.83305846688,40,9748
2024-07-18,84,1761.14843516023,4908.55358079086,38,7690
2024-07-19,22,1566.54387321038,1100.438863008,2,2045
2024-07-20,209,2007.79664951938,10046.4335079385,34,15989
2024-07-21,119,1834.87224926418,4986.74615241605,5,8531
2024-07-22,91,1713.32284778648,3662.76499365019,18,6083
2024-07-23,32,1608.19696852475,1279.56447558545,,2347
2024-07-24,40,1606.64672584988,1748.42945626329,1,3109
2024-07-25,140,1890.2435685339,7375.77439221428,39,11867
2024-07-26,44,1607.337409766,1983.12954201868,,3797
2024-07-27,153,2017.96399611024,6863.38667295378,8,11566
2024-07-28,226,2188.07320039254,14822.981561121,108,20988
2024-07-29,415,2802.30507036818,17704.8485894675,3,28814
2024-07-30,359,2712.88694707456,17470.0347248526,22,28141
2024-07-31,450,3029.1328499942,22802.9487492395,58,35604
2024-08-01,122,1888.36889437862,6347.98538283297,10,9508
2024-08-02,101,1721.10753873022,3715.3226387516,,6397
2024-08-03,72,1717.88315736897,3231.44904073621,,5578
2024-08-04,112,1831.51326784243,4521.19944261307,,8004
2024-08-05,66,1741.71781330322,3134.34775903261,1,5582
2024-08-06,160,1987.15679590759,7711.96265031695,37,11156
2024-08-07,78,1753.25349906655,3899.45835823835,6,6423
2024-08-08,79,1776.44215469718,2714.4736962619,50,4367
2024-08-09,30,1583.9476412442,1315.43460815916,1,2549
2024-08-10,46,1636.87580732004,2356.48387133589,8,4172
2024-08-11,33,1575.71553353707,1677.99819763089,5,3325
2024-08-12,43,1608.99070838787,2436.1390402656,16,4128
2024-08-13,126,1870.63072304154,5990.29163405279,30,9562
2024-08-14,63,1692.99355263623,3670.79579164558,28,5909
2024-08-15,75,1643.0663937412,3088.64719389775,1,5710
2024-08-16,41,1614.8332352613,1887.57887821974,3,3536
2024-08-17,98,1822.90160254176,4380.15911521436,7,7551
2024-08-18,73,1752.82090219022,3639.85176048583,7,5999
2024-08-19,59,1651.62050552279,2849.83508608054,7,4888
2024-08-20,84,1768.13955227866,4768.4044253234,34,7402
2024-08-21,38,1605.38931913528,1926.85114914662,10,3488
2024-08-22,153,1923.06851681971,7673.83209944499,36,12137
2024-08-23,18,1551.05087194343,720.053612982101,,1494
2024-08-24,44,1611.62367852793,2025.77305329497,3,3709
2024-08-25,84,1717.15268243825,4043.97501094054,18,6839
2024-08-26,43,1565.44945730525,1964.156975161,6,3430
2024-08-27,83,1729.26443798347,3568.97953285546,3,6133
2024-08-28,49,1640.48181457298,3023.66393837379,22,4860
2024-08-29,112,1815.15339700266,5817.84156187814,34,9296
2024-08-30,160,1941.04660526328,7997.95459294391,36,12440
2024-08-31,50,1620.69766568611,2213.19847551429,4,4241
2024-09-01,133,1777.49572359833,5188.84356848359,,9094
2024-09-02,87,1725.00774308271,5155.91935041605,37,7961
2024-09-03,39,1589.28078715981,1995.71846465728,,3601
2024-09-04,184,2015.75867826256,10263.5104664594,55,15741
2024-09-05,82,1749.02872268173,4611.18125221021,16,7350
2024-09-06,136,1881.74168388632,7923.67133077692,67,12224
2024-09-07,74,1717.18984524988,3664.73392290348,15,6375
2024-09-08,16,1520.45802422514,683.026788638344,,1564
2024-09-09,55,1657.17429608263,3221.32883765495,19,5220
2024-09-10,52,1624.85149780221,2582.41202316437,15,4260
2024-09-11,137,1886.78867183137,7309.49890728581,47,11375
2024-09-12,41,1618.02069048668,2184.47729837267,8,3718
2024-09-13,125,1888.37258500773,7361.80165240712,54,11503
2024-09-14,73,1674.59392344577,2881.53175356895,3,4962
2024-09-15,117,1802.87551598557,4437.96094081582,,7755
2024-09-16,132,1869.86507135398,7272.03630738173,19,11320
2024-09-17,62,1705.72655742522,2150.85037628936,32,3654
2024-09-18,88,1799.25343476665,5155.78251646335,31,8254
2024-09-19,165,1976.05629935313,8985.80372741343,60,13954
2024-09-20,96,1727.21480022878,5253.25646210706,29,8356
2024-09-21,27,1530.41984478068,1088.19138153085,,2214
2024-09-22,87,1794.40988379846,3273.37188398602,8,6157
2024-09-23,86,1750.37866232763,5179.05033950435,42,8151
2024-09-24,86,1753.73452223689,5299.47004084678,43,8317
2024-09-25,129,1882.35595432186,6960.03263486405,40,10777
2024-09-26,39,1581.28647211877,1829.54800129743,6,3346
2024-09-27,68,1678.30120079669,4467.27219222482,43,7026
2024-09-28,132,1882.99436005906,6546.28826659712,25,10661
2024-09-29,90,1736.8491465474,4106.8283913312,4,7087
2024-09-30,117,1855.64459784804,6226.68084762205,39,9758
2024-10-01,36,1587.7772206645,1907.362669952,9,3411
2024-10-02,231,2186.88794200752,11796.9821141087,50,19127
2024-10-03,78,1757.15977343684,5078.48610859565,42,7843
2024-10-04,87,1720.77632743817,4834.20798722618,37,7717
2024-10-05,43,1585.30061722309,2207.51024353569,9,3736
2024-10-06,107,1761.9823765457,4672.10688077458,9,8133
2024-10-07,65,1694.72970929794,3299.30395730483,25,5318
2024-10-08,109,1782.3423420848,4313.87742702734,42,7131
2024-10-09,85,1695.53206418347,3522.37948031155,,6215
2024-10-10,126,1832.63731006058,5570.85443341462,21,8569
2024-10-11,122,2067.73693052906,5726.5227489889,47,9022
2024-10-12,77,1840.51848447293,3641.53574738724,6,6212
2024-10-13,147,1891.80801829404,4749.58545607233,49,7996
2024-10-14,99,1947.99949557755,6033.1560008436,50,9184
2024-10-15,85,1944.1558856792,4083.86424450404,18,6677
2024-10-16,93,1855.58665728425,4822.70142806442,18,7678
2024-10-17,184,2120.5870305044,10806.7203646987,77,15958
2024-10-18,177,2336.81188342574,9104.87107720895,55,14743
2024-10-19,88,2301.17716246411,3605.48663765967,4,7022
2024-10-20,54,1826.8801661196,2302.59690857424,3,4528
2024-10-21,96,1911.97845733468,3951.96218822775,1,7090
2024-10-22,126,1994.2914862638,6321.329321081,32,10239
2024-10-23,62,1754.5757961324,3701.50508766835,28,6058
2024-10-24,75,1888.9894087096,4389.49204363528,32,7230
2024-10-25,102,1807.3824239374,4939.1881144873,14,8475
2024-10-26,61,1755.27394906241,2275.84938193038,,4501
2024-10-27,92,1871.61905557167,4510.81818406317,11,7898
2024-10-28,70,1871.46612003788,3673.29194737906,12,6110
2024-10-29,50,1834.48898520245,2439.56905319949,5,4189
2024-10-30,90,1948.1795190805,6332.04017890456,40,8737
2024-10-31,78,1889.38375530657,4742.39376729299,28,7283
2024-11-01,146,2029.52932652024,6857.510018007,29,10971
2024-11-02,50,1804.54386166114,2337.21534503714,6,4329
2024-11-03,92,1989.31269047851,6617.97536746007,40,8639
2024-11-04,78,1855.1631049378,4127.14059359252,24,6532
2024-11-05,85,1878.34035501055,6186.95697731976,51,8538
2024-11-06,146,2196.57558815803,7368.90434968459,37,11706
2024-11-07,130,2041.62385997845,7081.83134660426,44,11329
2024-11-08,74,1893.29974005667,5332.63433570265,34,7347
2024-11-09,94,1910.18892313651,4655.38103882625,14,8043
2024-11-10,100,2098.58136507794,5261.41889239448,20,8727
2024-11-11,67,1875.29342943002,4220.96698935452,23,6553
2024-11-12,45,1879.40218834952,1820.67148008676,,3834
2024-11-13,126,1971.33707364155,7916.95220850243,49,11146
2024-11-14,113,1884.33599704209,5332.51681532877,31,8369
2024-11-15,126,2060.34231275974,7564.68137732213,48,11163
2024-11-16,98,1938.57631935286,4224.16475411213,10,7155
2024-11-17,119,2071.29641317802,6555.67753500349,35,9753
2024-11-18,96,1956.06184626442,6162.17205295644,31,8550
2024-11-19,88,1997.11270174885,7284.31976913335,59,9111
2024-11-20,130,2122.5536177376,7697.40716937115,51,12137
2024-11-21,122,2173.97026756825,7616.15261718234,45,10859
2024-11-22,87,2007.74657085859,6082.84620168998,50,8388
2024-11-23,82,1941.4866302841,3362.86806624569,9,5838
2024-11-24,65,1962.35650878072,2754.00163865682,,4990
2024-11-25,74,1818.06734262611,3989.27201444561,19,6688
2024-11-26,76,1901.05942716924,4309.2495723314,23,7222
2024-11-27,179,2283.34806186737,6957.84614921266,8,11935
2024-11-28,147,2265.65271598753,5163.64728752418,,9076
2024-11-29,108,1923.17609454212,5916.35982512999,39,9641
2024-11-30,101,1970.48315570108,6631.34528465754,46,8984
2024-12-01,68,1865.13348177643,2112.46643925331,27,3723
2024-12-02,84,1807.2146216591,4827.05686182459,33,7657
2024-12-03,96,1831.69596617804,3238.96885836114,51,5349
2024-12-04,155,2123.41639101262,12617.3705214032,81,6399
2024-12-05,94,1784.72325351824,2285.65568472013,42,3818
2024-12-06,180,2252.31004028957,12005.2241304354,119,5728
2024-12-07,108,1787.88190685401,4144.17045502205,7,7197
2024-12-08,128,1865.2071164239,6175.56008900142,41,9671
2024-12-09,49,1636.10151407995,2260.58466875405,5,3831
2024-12-10,111,1916.58675508867,4162.85392651222,45,6730
2024-12-11,86,1830.59982176389,2191.70519753547,44,3854
2024-12-12,83,1826.1253897842,4041.65930988355,32,6619
2024-12-13,64,1865.0163335843,5546.16778706691,56,7029
2024-12-14,196,2272.80388655069,11381.7390645722,83,12938
2024-12-15,66,1746.6548330229,2788.141781801,8,5113
2024-12-16,132,1862.52639588659,7220.25060996651,46,11388
2024-12-17,79,1787.51517463912,4620.90832210555,34,7051
2024-12-18,94,1868.15145225538,4403.80100228261,10,7493
2024-12-19,113,1733.57989043019,6552.36245624605,58,9614
2024-12-20,109,1894.26967930718,6207.47686198652,43,9406
2024-12-21,92,1779.7956001239,4161.79554457382,1,7096
2024-12-22,90,1910.50248436637,4170.85184628043,,7489
2024-12-23,96,2027.88620088337,7549.21503979446,61,8904
2024-12-24,79,1754.84619741982,2934.54183212863,,5235
2024-12-25,194,2362.72121994551,7989.12991751773,163,9331
2024-12-26,115,2070.33307230664,7851.00409577454,71,9433
